x,y
-2.163283097753865292e-01,-8.126297203208525666e-01
-2.179992337719616480e-01,-8.115024614604164910e-01
-2.196750602947452613e-01,-8.103824776802602825e-01
-2.213444394866264653e-01,-8.092529126638905446e-01
-2.230191154161218214e-01,-8.081312392255725063e-01
-2.246910709753749125e-01,-8.070054848961734084e-01
-2.263613651481613254e-01,-8.058772838211626377e-01
-2.280365554222722468e-01,-8.047563486099205132e-01
-2.297070451931804980e-01,-8.036284350838442947e-01
-2.313803759285975314e-01,-8.025047584995950167e-01
-2.330520114574159141e-01,-8.013785326274932563e-01
-2.347219933706847506e-01,-8.002498615484526789e-01
-2.363956759320298973e-01,-7.991266833807040282e-01
-2.380668662160133064e-01,-7.979998090733078087e-01
-2.397376464182393030e-01,-7.968723379982047827e-01
-2.414096782983184142e-01,-7.957467092064293146e-01
-2.430798595782022176e-01,-7.946183242124651436e-01
-2.447510043875120722e-01,-7.934913843466666616e-01
-2.464225158021529916e-01,-7.923649811833967105e-01
-2.480906566355631226e-01,-7.912335981065020674e-01
-2.497627298768541060e-01,-7.901080327450917817e-01
-2.514315519538075638e-01,-7.889776385316641383e-01
-2.531012258353734223e-01,-7.878485140024502620e-01
-2.547726900067012745e-01,-7.867220302137319932e-01
-2.564381275021134776e-01,-7.855866584301032240e-01
-2.581099222393922754e-01,-7.844606755602950843e-01
-2.597770856514399207e-01,-7.833278364897259261e-01
-2.614451144805442495e-01,-7.821962771295523087e-01
-2.631147767945103966e-01,-7.810671243676996500e-01
-2.647797645399052047e-01,-7.799310995327355389e-01
-2.664500981168588800e-01,-7.788029492728498759e-01
-2.681153569797861680e-01,-7.776673123935086140e-01
-2.697815836462203465e-01,-7.765331003823353617e-01
-2.714491439420176899e-01,-7.754008456132315263e-01
-2.731136158532912472e-01,-7.742640677512404590e-01
-2.747807971162180007e-01,-7.731312693776165590e-01
-2.764452811284872635e-01,-7.719945056105359527e-01
-2.781096272376379352e-01,-7.708575411582556658e-01
-2.797747726936624657e-01,-7.697217380007681520e-01
-2.814383660597458703e-01,-7.685836714756656418e-01
-2.831022533960825815e-01,-7.674460420993874932e-01
-2.847657781933420895e-01,-7.663078779730825296e-01
-2.864270220962721880e-01,-7.651663799247641062e-01
-2.880906694103919641e-01,-7.640283900292268449e-01
-2.897530265925607473e-01,-7.628885106702537611e-01
-2.914135746311752317e-01,-7.617460118561749649e-01
-2.930758793866905521e-01,-7.606060636607901992e-01
-2.947340917452343501e-01,-7.594601622792347406e-01
-2.963959078813916403e-01,-7.583195029623979178e-01
-2.980554523661453903e-01,-7.571755316754323895e-01
-2.997138220967546784e-01,-7.560298689141230488e-01
-3.013746628139973849e-01,-7.548877805752011172e-01
-3.030300839005153901e-01,-7.537378504779388422e-01
-3.046896127809746169e-01,-7.525938664231441866e-01
-3.063459879987532886e-01,-7.514453110956973436e-01
-3.080020992283604708e-01,-7.502963804032082296e-01
-3.096598375517615742e-01,-7.491497933574915447e-01
-3.113136777174195235e-01,-7.479975980440610739e-01
-3.129708226019316530e-01,-7.468501607566550016e-01
-3.146239915672734422e-01,-7.456969961875757891e-01
-3.162776499813073072e-01,-7.445445352731729916e-01
-3.179320010836986787e-01,-7.433930663711638687e-01
-3.195840379927116226e-01,-7.422382881929259213e-01
-3.212374558293781823e-01,-7.410854872831923457e-01
-3.228887276448127452e-01,-7.399296142069946569e-01
-3.245396551005266250e-01,-7.387732487544484972e-01
-3.261905515149773338e-01,-7.376168340162457815e-01
-3.278403566442640305e-01,-7.364588650078675025e-01
-3.294900068509673541e-01,-7.353006788232914204e-01
-3.311391855500692705e-01,-7.341418216934275653e-01
-3.327863969907684516e-01,-7.329801676995513215e-01
-3.344347101555152357e-01,-7.318200788153764735e-01
-3.360812849744285180e-01,-7.306575171748607156e-01
-3.377276954637050688e-01,-7.294947271792691090e-01
-3.393745964651312397e-01,-7.283326302723694967e-01
-3.410180453482130614e-01,-7.271656584888918085e-01
-3.426638349051891463e-01,-7.260019919552412881e-01
-3.443063879301564989e-01,-7.248337549234499244e-01
